dup_carrying_indid,anc_gc,derived_pop,repl_id,init_dupl_genotype_fitness,rel_sel_adv_dupG_init_pop_mean,rel_sel_adv_dupG_init_pop_min,rel_sel_adv_dupG_init_pop_max,rel_sel_adv_dupG_init_pop_std,rel_sel_adv_dupG_init_pop_median,rel_sel_adv_dupG_init_pop_MAD,rel_sel_adv_dupG_init_pop_Q75,rel_sel_adv_dupG_init_pop_IQR,pop_freq_dupl_carrying_genotype,rank_in_pop_dupl_genotype_fitness,max_dup_freq_attained,longest_time_window_dupl_nearly_fixed,t2fixation,simulated_geners
632,1,5,4,0.671865197037,10.6024999612,1.29679395446,478.516196921,21.8227436217,9.19920150659,0.94845673862,9.81353474055,1.29118785341,0.001,1,1.0,1724,152,1880
975,1,5,5,0.600692577362,9.37151499295,1.05348794112,427.719662048,19.5112220682,8.11877065079,0.85134540475,8.66802579199,1.15719788484,0.001,1,1.0,1854,35,1889
278,1,5,6,0.983528868601,15.9909865449,2.3622267821,700.953345274,31.94415293,13.9303895523,1.38842521858,14.8296986298,1.89014185318,0.001,1,1.0,1789,58,1853
446,1,5,7,0.612398872549,9.57394497439,1.0935063081,436.074549565,19.891432698,8.2964772265,0.867936421502,8.85643625029,1.17974935383,0.001,1,1.0,1764,76,1850
748,1,5,8,0.567152194165,8.79153013682,0.938829004033,403.781590742,18.4218300938,7.60359183637,0.800055384826,8.12470884971,1.08909312278,0.001,1,1.0,1791,57,1848
774,1,5,9,0.576278129068,8.9493464306,0.9700263219,410.29485206,18.7182445425,7.74203054796,0.812928919368,8.27153275312,1.10661750697,0.001,1,1.0,1812,30,1842
731,1,5,10,0.816953216981,13.1118101508,1.79278226959,582.066813695,26.5344258133,11.4016998026,1.1532741794,12.1486971377,1.57001743091,0.001,1,1.0,1823,33,1856
525,1,5,11,0.866163047931,13.963167843,1.96100774506,617.188309931,28.132308594,12.148726117,1.22274257273,12.9407194346,1.66458868757,0.001,1,1.0,1720,42,1762
233,1,5,12,0.596772192196,9.30365543007,1.04008597152,424.92164811,19.3838943404,8.052921621,0.841838946925,8.60492798401,1.14964550016,0.001,1,1.0,1971,35,2017
360,1,5,13,0.614644544782,9.61273358594,1.10118321476,437.677305911,19.9643735761,8.33056749299,0.87111915225,8.89257989162,1.18407550543,0.001,1,1.0,1532,226,1871
272,1,5,14,0.583596148293,9.0757417437,0.995043218726,415.517787796,18.9559411873,7.85304351963,0.823252110828,8.39286221678,1.12426264924,0.001,1,1.0,1774,87,1863
222,1,5,15,0.570572197248,8.85069676106,0.950520400522,406.222477514,18.5329130849,7.65547263822,0.804879825093,8.17973205638,1.09566049901,0.001,1,1.0,1790,58,1851
518,1,5,16,0.604166705009,9.43147199536,1.06536436427,430.199178004,19.6240678048,8.17150939672,0.856269192256,8.72394117527,1.16389058143,0.001,1,1.0,1828,30,1858
499,1,5,17,0.586095379283,9.11909779578,1.00358692459,417.301511294,19.0371102381,7.89095638245,0.826777660462,8.43308683513,1.12907726644,0.001,1,1.0,1795,35,1835
160,1,5,18,0.578810700263,8.99309787668,0.978684002392,412.10237076,18.800504675,7.78044917541,0.816501500489,8.3158413966,1.11504377332,0.001,1,1.0,1788,47,1835
906,1,5,19,0.606265014789,9.46771643435,1.07253750739,431.696760451,19.6922224045,8.20336263807,0.859243070171,8.75771304767,1.16793284819,0.001,1,1.0,1794,44,1838
487,1,5,20,0.553942308037,8.5630647653,0.893670560448,394.35357693,17.9927603989,7.40320035482,0.781420809067,7.91217971538,1.06372639356,0.001,1,1.0,1917,27,1944
691,1,5,21,0.622712916309,9.75265744364,1.12876521637,443.435774794,20.2263818967,8.45304882913,0.879069587624,9.02243870287,1.19672719653,0.001,1,1.0,1937,44,1991
804,1,5,22,0.58425460202,9.08711874179,0.997294165115,415.987732107,18.9773282531,7.8630321385,0.824180961065,8.40345989662,1.12553112049,0.001,1,1.0,1794,31,1825
407,1,5,23,0.570788387549,8.85436005768,0.951259454395,406.376774464,18.5399370677,7.65875220432,0.805184794757,8.18321026483,1.09607564572,0.001,1,1.0,1756,71,1866
420,1,5,24,0.604874497221,9.44374985315,1.06778397594,430.704335633,19.647053765,8.1822539857,0.857272327088,8.73533294806,1.16525410028,0.001,1,1.0,1564,37,1829
97,1,5,25,0.597669344299,9.31918244789,1.0431529164,425.561953586,19.4130326487,8.06653124923,0.843104517928,8.61936746604,1.15137380937,0.001,1,1.0,1968,41,2009
495,1,5,26,0.635937477421,9.98108229641,1.17397382689,452.874262273,20.6559214759,8.65380333199,0.897738398209,9.23528534479,1.22214210528,0.001,1,1.0,1557,226,1876
926,2,1,0,0.382929315557,9.36863097286,-0.613862897643,73.6348581466,3.62338912024,9.1676504984,0.404537640203,9.44050699028,0.590949706889,0.001,4,0.0485,0,NaN,4443
36,2,1,1,0.415209751175,10.2434942839,-0.581312049834,79.9264781282,3.92893350777,10.0247700084,0.438639629054,10.3206279422,0.640765986792,0.001,3,0.0225,0,NaN,4362
154,2,1,2,0.451226165484,11.220302406,-0.544993927157,86.9462592307,4.26950006118,10.9870144824,0.467902258664,11.30260976,0.690266091655,0.001,3,0.027,0,NaN,4689
579,2,1,3,0.42007267756,10.3753750311,-0.576408386868,80.8742870479,3.97494805958,10.1538918433,0.443776965592,10.453214858,0.648270622256,0.001,3,0.0135,0,NaN,4457
649,2,1,4,0.427483858385,10.576244186,-0.568935122814,82.3187636318,4.04506730326,10.3562900235,0.443282500398,10.6552795265,0.659707811729,0.001,3,0.0325,0,NaN,4292
329,2,1,5,0.417889471003,10.3161566819,-0.578609882077,80.4487690605,3.95429113836,10.0959227082,0.441470562836,10.3936900778,0.644901422714,0.001,3,0.0365,0,NaN,4423
